date,var,svi_theme,pvalue,vulnerable_mean,not_vulnerable_mean,vulnerable_status
2021-01-01,cases_rate,Overall,7.376900316003227e-19,49.303333333333335,17.292344173441734,worse
2021-04-01,cases_rate,Overall,3.972834907829269e-34,24.001098901098903,6.054140980970249,worse
2021-07-01,cases_rate,Overall,1.2265824399741524e-24,60.71032608695652,20.690482502651115,worse
2021-10-01,cases_rate,Overall,6.496776700470235e-20,85.88804347826087,26.746089607635206,worse
2022-01-01,cases_rate,Overall,6.01096312163862e-10,132.44666666666666,44.05020325203252,worse
2021-07-01,Series_Complete_65PlusPop_Pct,Socioeconomic Status,0.041364970289813334,71.64,76.81219512195123,worse
2021-10-01,Series_Complete_65PlusPop_Pct,Socioeconomic Status,0.04573066477564967,75.39,80.53536585365856,worse
2021-01-01,cases_rate,Socioeconomic Status,6.609043042496315e-14,43.50666666666667,17.999254742547425,worse
2021-04-01,cases_rate,Socioeconomic Status,3.828107475387912e-21,19.043406593406594,6.658737603859555,worse
2021-07-01,cases_rate,Socioeconomic Status,1.283298536056796e-21,57.708695652173915,21.056534994697774,worse
2021-10-01,cases_rate,Socioeconomic Status,9.082099894150781e-15,70.94021739130434,28.568995227995757,worse
2022-01-01,cases_rate,Socioeconomic Status,2.307034355921942e-08,120.97222222222223,45.44952574525745,worse
2021-01-01,cases_rate,Household Characteristics,2.176560303824498e-42,10.639506172839507,21.870481927710845,better
2021-04-01,cases_rate,Household Characteristics,9.008484122066462e-64,3.4017094017094016,8.504038130544155,better
2021-07-01,cases_rate,Household Characteristics,3.044787937385422e-16,17.30132850241546,25.879649030906233,better
2021-10-01,cases_rate,Household Characteristics,2.3789831557793662e-29,19.239734299516908,34.685568360398115,better
2022-01-01,cases_rate,Household Characteristics,1.162011303216987e-15,30.551234567901236,56.164123159303884,better
2021-04-01,Series_Complete_12PlusPop_Pct,Racial & Ethnic Minority Status,0.044213370000519954,18.959999999999997,20.91219512195122,worse
2021-07-01,Series_Complete_12PlusPop_Pct,Racial & Ethnic Minority Status,0.04078574491831451,48.029999999999994,43.10975609756096,better
2021-10-01,Series_Complete_12PlusPop_Pct,Racial & Ethnic Minority Status,0.027435807351081996,55.7,50.22926829268293,better
2022-01-01,Series_Complete_12PlusPop_Pct,Racial & Ethnic Minority Status,0.01879227636995789,59.15,53.439024390243915,better
2022-04-01,Series_Complete_12PlusPop_Pct,Racial & Ethnic Minority Status,0.012683903359228522,61.370000000000005,55.16585365853659,better
2021-04-01,Series_Complete_18PlusPop_Pct,Racial & Ethnic Minority Status,0.04935108439778696,20.97,23.056097560975616,worse
2021-07-01,Series_Complete_18PlusPop_Pct,Racial & Ethnic Minority Status,0.03848316024636707,51.21,46.31219512195124,better
2021-10-01,Series_Complete_18PlusPop_Pct,Racial & Ethnic Minority Status,0.02985903373934503,58.129999999999995,52.94268292682927,better
2022-01-01,Series_Complete_18PlusPop_Pct,Racial & Ethnic Minority Status,0.02139465576607859,61.519999999999996,56.15365853658537,better
2022-04-01,Series_Complete_18PlusPop_Pct,Racial & Ethnic Minority Status,0.014346191557748012,63.64000000000001,57.81585365853658,better
2021-04-01,Series_Complete_Pop_Pct,Racial & Ethnic Minority Status,0.022946044836887284,15.969999999999999,17.881707317073168,worse
2022-01-01,Series_Complete_Pop_Pct,Racial & Ethnic Minority Status,0.04722814778124964,50.519999999999996,46.14268292682927,better
2022-04-01,Series_Complete_Pop_Pct,Racial & Ethnic Minority Status,0.029469435165909292,53.11,48.06829268292683,better
2021-07-01,cases_norm,Racial & Ethnic Minority Status,0.02346314227690875,0.12388693758448624,0.10702621429949395,worse
2021-01-01,cases_norm_12plus,Racial & Ethnic Minority Status,0.041081404880072676,0.1019054983604433,0.08624716967365062,worse
2021-04-01,cases_norm_12plus,Racial & Ethnic Minority Status,0.04691735758021156,0.13238674495553854,0.11597494056677195,worse
2021-07-01,cases_norm_12plus,Racial & Ethnic Minority Status,0.01649257702084222,0.14711905148826734,0.1252853511730683,worse
2021-01-01,cases_norm_18plus,Racial & Ethnic Minority Status,0.04442252912797655,0.11294512927926206,0.09521244395199134,worse
2021-04-01,cases_norm_18plus,Racial & Ethnic Minority Status,0.049112550258665545,0.14665274624174882,0.12801687116737728,worse
2021-07-01,cases_norm_18plus,Racial & Ethnic Minority Status,0.018123762866159788,0.1629564785242215,0.1382964559895259,worse
2021-01-01,cases_rate,Racial & Ethnic Minority Status,3.073069257970689e-56,74.09777777777778,14.268631436314363,worse
2021-04-01,cases_rate,Racial & Ethnic Minority Status,5.536123976566568e-87,36.76758241758242,4.497252747252747,worse
2021-07-01,cases_rate,Racial & Ethnic Minority Status,9.677443738669072e-45,77.24782608695652,18.673714209968185,worse
2021-10-01,cases_rate,Racial & Ethnic Minority Status,1.2766103382264712e-46,122.67336956521739,22.260074231177093,worse
2022-01-01,cases_rate,Racial & Ethnic Minority Status,1.8895073419565426e-22,189.32444444444445,37.11388888888889,worse
